Age,EducationLevel,FieldOfStudy,InstitutionType,MonthlyIncome,LearningFrequency,PreferredFormats,UsedPlatforms,StudyTime,AttentionSpan,LearningMotivation,LearningChallenges,DeviceUsed,WillingnessToUse,WillingToShareData,ValuableFeatures,MonthlyWillingnessToPay,ContentDeliveryMode,PreferredLanguages,CareAboutCertification,ConvincingFactors,GoalTrackingPreference,TryNewToolsFrequency,OnlineLearningFear,RecommendLikelihood
22,Postgraduate,Law,Other,₹10k–30k,Occasionally,"Video lectures, One-on-one mentoring, Interactive quizzes",Udemy,Evening,30–45 mins,Parental push,Poor content quality,Desktop,2,Yes,Mentor guidance,329.26,Mixed,"English, Regional, Hindi",No,Trial success,Score tracking,Always,Wasting money,3
19,Other,Arts,Online University,₹10k–30k,Often,Text-based guides,BYJU'S,Afternoon,45–60 mins,Peer pressure,"Procrastination, Lack of support, Time management",Desktop,3,Yes,"Mentor guidance, Peer comparison, Gamification",211.39,Interactive modules,Mix of English + Regional,Yes,"App reviews, Trial success, Better grades",Score tracking,Often,Not finishing,5
19,Undergraduate,Arts,Online University,> ₹100k,Daily,"Flashcards, Interactive quizzes, Group discussions",Udemy,Morning,15–30 mins,Parental push,"Procrastination, Poor content quality",Laptop,4,Yes,"Personalized schedules, Weekly reports",636.92,AI tutor,"Regional, English",Yes,"Certifications, Peer usage, Trial success",Mentor reviews,Occasionally,Wasting time,3
17,Undergraduate,Arts,Other,> ₹100k,Daily,"Video lectures, Group discussions","None, Unacademy",Afternoon,15–30 mins,Certification,"Hard to stay focused, Lack of support, Time management",Desktop,4,No,"Personalized schedules, Mentor guidance, Adaptive quizzes",513.8,AI tutor,"English, Mix of English + Regional",Yes,Certifications,Score tracking,Always,Too boring,3
19,Professional Course,Arts,Self-Learning,₹10k–30k,Occasionally,"Flashcards, Interactive quizzes",Khan Academy,Random,<15 mins,Career goals,"Time management, Hard to stay focused",Tablet,4,Yes,"Mentor guidance, Personalized schedules, Adaptive quizzes",508.57,Interactive modules,"Hindi, English, Mix of English + Regional",Yes,"App reviews, Peer usage",Score tracking,Often,Wasting time,4
21,Professional Course,Other,Online University,₹30k–60k,Occasionally,One-on-one mentoring,"None, Coursera",Random,30–45 mins,Peer pressure,Procrastination,Desktop,3,Yes,"Gamification, Weekly reports",439.56,Interactive modules,Hindi,Yes,"Better structure, App reviews, Better grades",Achievement badges,Always,Too boring,4
20,High School,Other,Traditional College,< ₹10k,Rarely,"Flashcards, One-on-one mentoring, Group discussions",Khan Academy,Morning,45–60 mins,Parental push,Time management,Desktop,4,Yes,"Peer comparison, Mentor guidance, Weekly reports",584.7,Mixed,"Mix of English + Regional, Regional, Hindi",Yes,"Better grades, Better structure",Progress bars,Occasionally,Not finishing,4
21,High School,Law,Self-Learning,₹60k–100k,Occasionally,"Flashcards, Video lectures, Group discussions",Udemy,Evening,15–30 mins,Peer pressure,"Time management, Hard to understand, Procrastination",Mobile,3,Yes,"Gamification, Peer comparison",484.49,Text + Video,"Regional, Mix of English + Regional",Yes,Better structure,Progress bars,Always,Wasting time,3
21,Other,Engineering,Coaching Institute,₹10k–30k,Occasionally,"Video lectures, Group discussions, Interactive quizzes","Khan Academy, Coursera, None",Evening,<15 mins,Peer pressure,"Time management, Hard to understand",Mobile,2,Yes,Mentor guidance,162.58,AI tutor,"Regional, Mix of English + Regional, English",Yes,"Trial success, App reviews, Better grades",Achievement badges,Often,Too boring,3
21,Undergraduate,Arts,Other,₹10k–30k,Often,Interactive quizzes,BYJU'S,Afternoon,>60 mins,Peer pressure,"Procrastination, Lack of support, Hard to stay focused",Laptop,5,Yes,"Personalized schedules, Mentor guidance",285.11,AI tutor,"Regional, English",Yes,Better grades,Score tracking,Occasionally,Too boring,4
22,High School,Engineering,Self-Learning,₹30k–60k,Often,"Video lectures, One-on-one mentoring, Flashcards",None,Evening,45–60 mins,Peer pressure,"Time management, Poor content quality, Hard to understand",Tablet,3,Yes,"Adaptive quizzes, Weekly reports, Gamification",678.57,Interactive modules,Hindi,Yes,"App reviews, Certifications, Better structure",Mentor reviews,Occasionally,Wasting time,4
24,Postgraduate,Arts,Online University,< ₹10k,Daily,"Group discussions, Flashcards",Udemy,Afternoon,30–45 mins,Peer pressure,Procrastination,Desktop,5,Yes,"Personalized schedules, Peer comparison",359.85,AI tutor,"Hindi, Regional, English",Yes,Trial success,Progress bars,Rarely,Not understanding,4
20,High School,Science,Coaching Institute,₹60k–100k,Daily,"One-on-one mentoring, Video lectures, Text-based guides",Coursera,Morning,45–60 mins,Curiosity,"Procrastination, Lack of support",Mobile,3,No,Weekly reports,377.09,AI tutor,"Mix of English + Regional, English, Regional",Yes,"Peer usage, Better structure, Certifications",Score tracking,Rarely,Not finishing,5
18,Undergraduate,Medical,Coaching Institute,₹30k–60k,Occasionally,Flashcards,"Udemy, Coursera",Morning,45–60 mins,Career goals,Poor content quality,Laptop,3,Yes,"Weekly reports, Gamification",185.91,Interactive modules,"Mix of English + Regional, Regional",Yes,Better structure,Progress bars,Often,Not finishing,4
18,Other,Science,Coaching Institute,₹10k–30k,Occasionally,"One-on-one mentoring, Video lectures, Group discussions","Unacademy, Khan Academy",Morning,45–60 mins,Career goals,Time management,Mobile,3,Yes,Adaptive quizzes,227.63,AI tutor,"Mix of English + Regional, English, Hindi",Yes,App reviews,Progress bars,Never,Not understanding,5
20,Other,Other,Coaching Institute,> ₹100k,Rarely,"Text-based guides, Video lectures","None, BYJU'S",Random,>60 mins,Career goals,Procrastination,Desktop,4,Yes,"Peer comparison, Personalized schedules, Mentor guidance",461.05,Video only,Hindi,No,"Certifications, Better structure",Achievement badges,Always,Wasting money,4
24,High School,Engineering,Online University,₹60k–100k,Occasionally,Flashcards,Udemy,Random,15–30 mins,Academic success,"Procrastination, Hard to understand",Tablet,3,Yes,"Gamification, Weekly reports",357.7,AI tutor,"Mix of English + Regional, English",Yes,App reviews,Progress bars,Often,Not understanding,4
23,Professional Course,Science,Self-Learning,₹30k–60k,Often,Video lectures,"Unacademy, BYJU'S, Coursera",Evening,<15 mins,Academic success,"Hard to stay focused, Procrastination, Lack of support",Tablet,5,Yes,"Gamification, Peer comparison, Adaptive quizzes",447.71,Video only,English,Yes,Trial success,Score tracking,Never,Not finishing,2
25,Professional Course,Arts,Other,₹30k–60k,Daily,"Video lectures, Text-based guides, Flashcards",BYJU'S,Late night,30–45 mins,Peer pressure,Lack of support,Desktop,5,Yes,"Personalized schedules, Peer comparison, Mentor guidance",369.28,Interactive modules,"Regional, Hindi",No,Better structure,Mentor reviews,Often,Wasting money,2
22,Other,Engineering,Traditional College,> ₹100k,Often,"Interactive quizzes, Text-based guides, One-on-one mentoring","Udemy, Unacademy",Morning,>60 mins,Parental push,"Hard to stay focused, Hard to understand, Poor content quality",Mobile,5,Yes,Personalized schedules,479.86,Mixed,"English, Mix of English + Regional",Yes,"Better grades, Peer usage, App reviews",Mentor reviews,Never,Wasting money,4
